"file","publicationDate","reason","evidence"
"concours-grand-mercredi-puy-du-fou-juin-2026-20-entrees-sejour-4-personnes.mdx","2026-06-03","aucune date de fin explicite",""
"concours-hachette-guillaume-musso-5-livres-quel-fan-mai-2026.mdx","2026-05-05","aucune date de fin explicite",""
"concours-henkel-gliss-nicolas-waldorf-relooking-capillaire-500-euros-labelleadresse-juin-juillet-2026.mdx","2026-05-28","aucune date de fin explicite",""
"concours-hors-serie-paques-tribu-idees-2026.mdx","2026-03-12","aucune date de fin explicite",""
"concours-intermarche-heineken-ping-pong-jbl-mars-2026.mdx","2026-07-28","aucune date de fin explicite",""
"concours-intermarche-lipton-voyage-bali-enceintes-gourdes-2026.mdx","2026-07-28","aucune date de fin explicite",""
"concours-kit-bebe-148-euros-la-boite-rose-echantillons.mdx","2026-04-06","aucune date de fin explicite",""
"concours-kit-bebe-voyage-205-euros-la-boite-rose.mdx","2026-04-06","aucune date de fin explicite",""
"concours-la-boite-rose-thule-essentiels-bebe-siege-auto-velo-porte-bebe-mai-2026.mdx","2026-05-17","aucune date de fin explicite",""
"concours-la-fournee-doree-faites-equipe-tv-maillots-foot-mai-aout-2026.mdx","2026-05-25","aucune date de fin explicite",""
"concours-la-grande-recre-disney-princesses-8-lots-2026.mdx","2026-04-19","aucune date de fin explicite",""
"concours-la-grande-recre-gabby-maison-magique-feerie-land-lots-jouets-2026.mdx","2026-04-19","aucune date de fin explicite",""
"concours-la-grande-recre-lego-smartplay-star-wars-lots-2026.mdx","2026-04-19","aucune date de fin explicite",""
"concours-la-grande-recre-pat-patrouille-search-rescue-15-lots-2026.mdx","2026-04-19","aucune date de fin explicite",""
"concours-la-grande-recre-star-wars-may-the-first-simulateur-vol-2026.mdx","2026-05-01","aucune date de fin explicite",""
"concours-laboiterose-cotton-bird-2026-papeterie-mariage-150-euros-mensuel.mdx","2026-06-02","aucune date de fin explicite",""
"concours-le-chat-excellence-1-an-lessive-henkel-labelleadresse-mai-decembre-2026.mdx","2026-05-12","aucune date de fin explicite",""
"concours-le-monde-du-bagage-carte-cadeau-250-euros-2026.mdx","2026-03-10","aucune date de fin explicite",""
"concours-le-slip-francais-bingo-2-calecons-best-sellers-a-gagner.mdx","2026-05-29","aucune date de fin explicite",""
"concours-leclub-bricolage-briconautes-juin-2026-7-jeux-concours-du-mois.mdx","2026-06-02","aucune date de fin explicite",""
"concours-loeul-piriot-ninja-woodfire-bbq-ete-2026.mdx","2026-04-27","aucune date de fin explicite",""
"concours-mafamillezen-coffrets-kitbac-revisions-bac-mai-2026.mdx","2026-05-05","aucune date de fin explicite",""
"concours-mafamillezen-livres-jeunesse-confiance-en-soi-mai-2026.mdx","2026-05-05","aucune date de fin explicite",""
"concours-mafamillezen-places-cinema-chao-animation-mai-2026.mdx","2026-05-05","aucune date de fin explicite",""
"concours-mafamillezen-places-cinema-the-world-of-love-mai-2026.mdx","2026-05-05","aucune date de fin explicite",""
"concours-maniko-nails-soft-gel-press-on-tente-gagner-nouveaute-mai-2026.mdx","2026-05-13","aucune date de fin explicite",""
"concours-mccain-tour-de-france-experiences-vip-air-fryer-ninja-21152-lots-mai-2026.mdx","2026-05-18","aucune date de fin explicite",""
"concours-mibaby-poussette-1000-euros-gratuit-2026.mdx","2026-04-22","aucune date de fin explicite",""
"concours-milan-jeunesse-fete-des-meres-470-euros-cadeaux-babille-gazette-bebes-mai-2026.mdx","2026-05-15","aucune date de fin explicite",""
"concours-monster-munch-crazy-action-2-nintendo-switch-2-mai-2026-aout-2027.mdx","2026-05-20","aucune date de fin explicite",""
"concours-nicolas-feuillatte-50-ans-50-ecartes-thefork-150-euros-mai-decembre-2026.mdx","2026-05-11","aucune date de fin explicite",""
"concours-nivea-sun-toy-story-100-casquettes-officielles-mai-2026.mdx","2026-05-20","aucune date de fin explicite",""
"concours-pampers-club-1-an-couches-bebe-2026.mdx","2026-04-28","aucune date de fin explicite",""
"concours-paysan-breton-festival-bout-du-monde-pass-3-jours-instant-gagnant-mai-2026.mdx","2026-05-18","aucune date de fin explicite",""
"concours-pepsi-joy-pepsico-2026.mdx","2026-03-16","aucune date de fin explicite",""
"concours-pink-lady-fete-des-meres-week-end-spa-1000-euros-mai-2026.mdx","2026-05-07","aucune date de fin explicite",""
"concours-planete-vegetal-100-planches-apero-croq-carotte-radis-instant-gagnant-mai-2026.mdx","2026-05-18","aucune date de fin explicite",""
"concours-prince-bretagne-tomates-en-fete-cookeo-infinity-moulinex-mai-juin-2026.mdx","2026-05-05","aucune date de fin explicite",""
"concours-puy-du-fou-sejour-4-personnes-8-entrees-cosmopolitan.mdx","2026-04-06","aucune date de fin explicite",""
"concours-rivadouce-odalys-city-grand-jeu-ete-juillet-2026.mdx","2026-06-29","aucune date de fin explicite",""
"concours-saint-jean-tapis-rouge-poele-tefal-sejour-aout-2026.mdx","2026-04-28","aucune date de fin explicite",""
"concours-schar-roulette-a-pizza-sans-gluten-2026.mdx","2026-06-09","aucune date de fin explicite",""
"concours-shokz-french-days-ecouteurs-conduction-osseuse-2026.mdx","2026-04-28","aucune date de fin explicite",""
"concours-sinto-bricolage-obligation-achat-2026.mdx","2026-03-10","aucune date de fin explicite",""
"concours-socopa-bbq-fest-1500-euros-mois-vacances-ete-2026.mdx","2026-04-28","aucune date de fin explicite",""
"concours-spontex-mapa-art-du-menage-a-la-francaise-instant-gagnant-sejours-relais-chateaux-mai-2026.mdx","2026-05-15","aucune date de fin explicite",""
"concours-spontex-mapa-art-du-menage-francaise-mai-octobre-2026.mdx","2026-05-02","aucune date de fin explicite",""
"concours-stabilo-avery-pack-rentree-mafamillezen-juillet-2026.mdx","2026-06-29","aucune date de fin explicite",""
"concours-ulvf-50-ans-vacances-tirage-au-sort-50-sejours-83000-euros-octobre-2026.mdx","2026-05-22","plusieurs dates de fin contradictoires","2026-10-03: jusqu'au 3 octobre 2026 | Jusqu'au 3 octobre 2026 | Date limite : 3 octobre 2026 || 2026-06-09: jusqu'au 9 juin 2026 || 2026-12-31: jusqu'au 31/12/2026 || 2027-04-30: jusqu'au 30/04/2027"
"concours-viandes-limousines-weber-2026-barbecue-master-touch-gbs-e5750.mdx","2026-06-02","aucune date de fin explicite",""
"concours-vico-carrefour-tour-de-france-juillet-2026.mdx","2026-06-29","aucune date de fin explicite",""
"concours-voici-europa-park-2-sejours-4-personnes-mai-juin-2026.mdx","2026-05-01","aucune date de fin explicite",""
"concours-yves-rocher-fete-des-meres-instant-gagnant-150000-lots-sejour-spa-mai-2026.mdx","2026-05-13","plusieurs dates de fin contradictoires","2026-06-07: Jusqu'au 7 juin 2026 || 2027-05-31: jusqu'au 31/05/2027"
"cosmopolitan-concours-box-skinimalist-beaute-2026.mdx","2026-04-10","aucune date de fin explicite",""
"croustibat-findus-jeu-concours-2026.mdx","2026-03-05","aucune date de fin explicite",""
"dr-oetker-jeu-concours-pizza-suprema-2026.mdx","2026-03-12","aucune date de fin explicite",""
"dr-oetker-ristorante-questionnaire-concours-2026.mdx","2026-03-05","aucune date de fin explicite",""
"envie-bien-manger-jeu-mois-fromage-100-pourcent-gagnant-2026.mdx","2026-04-10","aucune date de fin explicite",""
"envie-de-plus-jeu-tour-de-france-dash-offerte-concours-2026.mdx","2026-04-04","aucune date de fin explicite",""
"etixx-spin-wheel-nutrition-sportive-concours-2026.mdx","2026-03-15","aucune date de fin explicite",""
"familiscope-concours-famille-enfants-2026.mdx","2026-03-05","aucune date de fin explicite",""
"femme-actuelle-jeux-concours-cadeaux-gagner-2026.mdx","2026-03-04","aucune date de fin explicite",""
"fermier-ancenis-50-ans-concours-repas-experientiel-150-euros-2026.mdx","2026-04-10","aucune date de fin explicite",""
"grand-jeu-intermarche-bonduelle-2026-robot-moulinex.mdx","2026-03-03","aucune date de fin explicite",""
"hachette-bluey-maison-anniversaire-jeu-concours-avril-2026.mdx","2026-04-14","aucune date de fin explicite",""
"hachette-hello-kitty-cosy-colo-jeu-concours-avril-2026.mdx","2026-04-14","aucune date de fin explicite",""
"hub-jeux-concours-instagram-facebook-2026.mdx","2026-05-27","aucune date de fin explicite",""
"idylcar-25-ans-jeu-concours-ninja-crispi-25000-euros-cadeaux-2026.mdx","2026-04-05","aucune date de fin explicite",""
"jeu-concours-apericube-best-of-personnalise-2026.mdx","2026-03-19","aucune date de fin explicite",""
"jeu-concours-journal-de-mickey-grand-prix-lecteurs-2026.mdx","2026-03-10","aucune date de fin explicite",""
"jeu-concours-lactel-matin-leger-1-an-bien-etre-bons-reduction.mdx","2026-04-06","aucune date de fin explicite",""
"jeu-concours-love-and-green-15-ans-100-pourcent-gagnant-2026.mdx","2026-03-09","aucune date de fin explicite",""
"jeu-concours-love-radius-banana-bag-hoodiecarrier2-porte-bebe-2026.mdx","2026-04-17","aucune date de fin explicite",""
"jeu-concours-maitre-des-lampes-frandsen-instant-gagnant-2026.mdx","2026-03-10","aucune date de fin explicite",""
"jeu-concours-mapa-assurances-grand-jeu-croisiere-lots-2026.mdx","2026-03-10","aucune date de fin explicite",""
"jeux-concours-20-minutes-cadeaux-a-gagner.mdx","2026-08-03","aucune date de fin explicite",""
"jeux-concours-enfants-citizenkid-cadeaux-a-gagner.mdx","2026-08-03","aucune date de fin explicite",""
"jeux-concours-enfants-familiscope-cadeaux-a-gagner.mdx","2026-08-03","aucune date de fin explicite",""
"jeux-instants-gagnants-mars-2026-recap.mdx","2026-05-26","aucune date de fin explicite",""
"joueclub-jeux-concours-jouets-2026.mdx","2026-03-05","aucune date de fin explicite",""
"journal-de-mickey-concours-disney-enfants-2026.mdx","2026-03-06","aucune date de fin explicite",""
"joy-pepsico-jeu-concours-lays-doritos-pepsi-gains-2026.mdx","2026-03-03","plusieurs dates de fin contradictoires","2026-12-31: Jusqu'au 31 décembre 2026 | jusqu'au 31 décembre 2026 || 2026-04-30: Jusqu'au 30 avril 2026"
"kiehls-concours-duo-serum-retinol-contour-yeux-avocat-2026.mdx","2026-04-01","aucune date de fin explicite",""
"kinder-jeu-concours-paques-5-lots-chocolat-maxi-mag-2026.mdx","2026-03-31","aucune date de fin explicite",""
"la-roche-posay-jeu-concours-indispensables-hiver-2026.mdx","2026-03-13","aucune date de fin explicite",""
"lays-pepsico-grand-jeu-joy-instant-gagnant-2026.mdx","2026-03-06","aucune date de fin explicite",""
"le-slip-francais-jeu-concours-2026.mdx","2026-03-05","aucune date de fin explicite",""
"mafamillezen-concours-13-jeux-societe-famille-2026.mdx","2026-04-15","aucune date de fin explicite",""
"mafamillezen-jeux-concours-famille-2026.mdx","2026-07-28","aucune date de fin explicite",""
"mavieencouleurs-jeux-concours-loreal-2026.mdx","2026-03-04","aucune date de fin explicite",""
"maxi-mag-jeux-concours-gagner.mdx","2026-03-06","aucune date de fin explicite",""
"money-walkie-concours-roue-100-euros-reduction-2026.mdx","2026-04-01","aucune date de fin explicite",""
"mont-roucous-jeu-concours-bebe-2026.mdx","2026-03-05","aucune date de fin explicite",""
"notretemps-jeux-concours-mots-croises-quiz-voyages-gagner.mdx","2026-03-04","aucune date de fin explicite",""
"okoo-tournee-printemps-jeu-roue-cadeaux-enfants-2026.mdx","2026-04-10","aucune date de fin explicite",""
"panzani-tomacouli-jeu-concours-2026.mdx","2026-03-05","aucune date de fin explicite",""
"parc-asterix-jeu-concours-2-entrees-nouvelle-zone-egypte-2026.mdx","2026-04-15","aucune date de fin explicite",""
"parc-petit-prince-concours-5-packs-4-entrees-famille-2026.mdx","2026-04-15","aucune date de fin explicite",""
"rene-furterer-concours-triphasic-routine-cheveux-gratuite-2026.mdx","2026-04-01","aucune date de fin explicite",""
"saint-amand-asterix-100-entrees-parc-asterix-jeu-concours-2026.mdx","2026-04-15","aucune date de fin explicite",""
"saupiquet-jeu-100-pourcent-gagnant-250-euros-bons-courses-2026.mdx","2026-04-15","plusieurs dates de fin contradictoires","2026-09-30: Jusqu'au 30 septembre 2026 | jusqu'au 30 septembre 2026 || 2026-11-30: jusqu'au 30/11/2026"
"voici-jeux-concours-magazine-2026.mdx","2026-03-05","aucune date de fin explicite",""
